2019-11-25 15:19:09.762 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 23.596 ms
2019-11-25 15:19:11.268 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 16.158 ms
2019-11-25 15:19:12.401 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 51.8275 ms
2019-11-25 15:19:12.418 +02:00 [INF] HTTP GET /notification?id=qv1DUQSFfcTLyZ4zGnJJuQ responded 101 in 4211.8895 ms
2019-11-25 15:19:12.793 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5509 ms
2019-11-25 15:19:12.927 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3997 ms
2019-11-25 15:19:12.937 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.4762 ms
2019-11-25 15:19:27.538 +02:00 [INF] Application starting up!
2019-11-25 15:19:29.744 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-25 15:19:29.978 +02:00 [INF] HTTP GET / responded 302 in 202.7157 ms
2019-11-25 15:19:30.359 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 357.0149 ms
2019-11-25 15:19:30.972 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 27.5158 ms
2019-11-25 15:19:31.106 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 4.3073 ms
2019-11-25 15:19:31.125 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 11.5386 ms
2019-11-25 15:19:33.585 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 441.8955 ms
2019-11-25 15:19:33.670 +02:00 [INF] HTTP GET /notification?id=0SVAbG5o_iEwyJJGLsz1zg responded 101 in 2665.5658 ms
2019-11-25 15:19:33.943 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.2136 ms
2019-11-25 15:19:34.148 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 5.6632 ms
